IE_XML_ID;IE_ID;IP_PROP486
500115492;132603;мех
500115496;132607;мех
500115498;132609;мех
500115500;132611;мех
500115502;132613;мех
500115504;132615;мех
500115506;132617;мех
500115508;132619;мех
500115510;132621;мех
500115512;132623;мех
500115514;132625;мех
500115516;132627;мех
500115518;132629;мех
500115520;132631;мех
500115522;132633;мех
500115524;132635;мех
500115526;97101;мех
500115528;132636;мех
500115530;97105;мех
500115532;132639;мех
500115534;132641;мех
500115536;132643;мех
500115538;132645;мех
500115540;132647;мех
500115542;132649;мех
500115544;132651;мех
500115546;132653;мех
500115548;132655;мех
500115550;132657;мех
500115552;132659;мех
500115554;132661;мех
500115556;132663;мех
500115558;132665;мех
500115560;132667;мех
500115562;132669;мех
500115564;132671;мех
500115566;132673;мех
500115568;132675;мех
500115570;132677;мех
500115572;97147;мех
500115574;97149;мех
500115576;132679;мех
500115578;132681;мех
500115580;132683;мех
500115582;97157;мех
500115584;132685;мех
500115586;132687;мех
500115588;132689;мех
500115590;132691;мех
500115592;132693;мех
500115594;132695;мех
500115596;132697;мех
500115598;132699;мех
500115600;97175;мех
500115602;97177;мех
500115604;132701;мех
500115606;97181;мех
500115608;132703;мех
500115610;132705;мех
500115612;132707;мех
500115614;132709;мех
500115625;132711;мех
500115628;97194;мех
500115834;97210;мех
500115836;97212;мех
500115838;97214;мех
500115846;97220;мех
500115849;97223;мех
500115851;97225;мех
500115860;97231;мех
500115862;97233;мех
500115864;97235;мех
500115882;97248;мех
500116503;96272;мех
500116504;96273;мех
500116506;96275;мех
500116508;96277;мех
500116514;96282;мех
500116516;96283;мех
500116520;96286;мех
500116521;96287;мех
500116522;96288;мех
500116524;132968;мех
500116525;132969;мех
500116526;132970;мех
500116527;96292;мех
500116537;96300;мех
500116538;96301;мех
500116546;96308;мех
500116549;96311;мех
500116559;132977;мех
500116561;132979;мех
500116603;96348;мех
500116604;96349;мех
500116605;96350;мех
500116659;132999;мех
500116660;133000;мех
500116661;133001;мех
500116662;133002;мех
500116663;96370;мех
500116664;96371;мех
500116745;101202;мех
500116747;101204;мех
500116749;101206;мех
500116751;101208;мех
500116753;101210;мех
500116755;101212;мех
500116757;101214;мех
500116759;101216;мех
500117327;133067;мех
500117329;133069;мех
500117343;133083;мех
500117344;133084;мех
500117345;133085;мех
500117347;133087;мех
500117350;133090;мех
500117353;133093;мех
500117355;133095;мех
500117360;133100;мех
500117374;133112;мех
500117375;101286;мех
500120247;130891;мех
500120250;130893;мех
500120255;130894;мех
500120257;130895;мех
500120270;130896;мех
500120276;130899;мех
500120289;130900;мех
500120308;130901;мех
500120318;130902;мех
500120328;130905;мех
500120332;130906;мех
500120347;130910;мех
500120350;130912;мех
500120375;130918;мех
500120377;130919;мех
500120395;130924;мех
500120416;130927;мех
500120475;130930;мех
500120531;130943;мех
500120533;130944;мех
500120538;130946;мех
500120569;130954;мех
500120575;130956;мех
500120589;130957;мех
500120592;130959;мех
500120607;130963;мех
500120613;130965;мех
500120616;130966;мех
500120625;130969;мех
500120628;130971;мех
500120669;130981;мех
500120691;130985;мех
500120699;130990;мех
500120706;130992;мех
500120707;130993;мех
500120708;130994;мех
500120711;130995;мех
500120719;130996;мех
500120731;131000;мех
500120754;131007;мех
500120757;131009;мех
500120770;131012;мех
500120773;131014;мех
500120789;131017;мех
500120793;131018;мех
500120796;131020;мех
500120798;131021;мех
500120841;131022;мех
500120846;131023;мех
500120868;131026;мех
500120881;131028;мех
500120900;131030;мех
500120929;131032;мех
500120932;131033;мех
500120949;131035;мех
500120962;131038;мех
500120969;131040;мех
500120978;131042;мех
500120980;131043;мех
500120991;131045;мех
500120995;131047;мех
500121108;131049;мех
500121171;131051;мех
500121172;131052;мех
500121174;131054;мех
500121202;131063;мех
500121204;131064;мех
500121206;131066;мех
500121208;131068;мех
500121212;131071;мех
500121214;131073;мех
500121216;131075;мех
500121220;131077;мех
500121222;131078;мех
500121224;131080;мех
500121230;131083;мех
500121232;131085;мех
500121240;131093;мех
500121242;131095;мех
500121243;131096;мех
500121244;131097;мех
500121441;131100;мех
500121443;131102;мех
500121447;131104;мех
500121449;131106;мех
500121466;131115;мех
500121467;131116;мех
500121474;131122;мех
500121476;131124;мех
500121477;131125;мех
500121521;131138;мех
500121522;131139;мех
500121523;131140;мех
500121524;131141;мех
500121546;131156;мех
500121558;131157;мех
500121559;131158;мех
500121560;131159;мех
500121563;131162;мех
500121564;131163;мех
500121566;131165;мех
500121567;131166;мех
500121588;131182;мех
500121590;131184;мех
500121591;131185;мех
500121595;131189;мех
500121624;131192;мех
500121633;131195;мех
500121634;131196;мех
500121635;131197;мех
500121636;131198;мех
500121640;131201;мех
500121641;131202;мех
500121642;131203;мех
500121685;131218;мех
500121686;131219;мех
500121687;131220;мех
500121688;131221;мех
500121689;131222;мех
500121691;131224;мех
500121692;131225;мех
500121693;131226;мех
500121701;131234;мех
500121702;131235;мех
500121704;131237;мех
500121705;131238;мех
500121707;131239;мех
500121710;131240;мех
500121719;131247;мех
500121722;131248;мех
500121723;131249;мех
500121727;131250;мех
500121728;131251;мех
500121729;131252;мех
500121730;131253;мех
500121731;131254;мех
500121732;131255;мех
500121733;131256;мех
500121735;131258;мех
500121736;131259;мех
500121741;131262;мех
500121742;131263;мех
500121763;131265;мех
500121792;131269;мех
500121796;131273;мех
500121814;131289;мех
500121817;131292;мех
500121818;131293;мех
500121828;131303;мех
500121830;131305;мех
500121833;131308;мех
500121834;131309;мех
500121835;131310;мех
500121836;131311;мех
500121837;131312;мех
500121843;131318;мех
500121845;131320;мех
500121901;131355;мех
500121903;131357;мех
500121905;131359;мех
500121907;131361;мех
500121910;131364;мех
500121912;131366;мех
500121930;131379;мех
500121931;131380;мех
500121955;131388;мех
500121961;131390;мех
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
